description,observation_source_concept_id,observation_source_concept_name,observation_concept_id,concept_name
G.I. HEMORRHAGE W MCC,0,,38001187,G.I. hemorrhage w MCC
G.I. HEMORRHAGE W/O CC/MCC,0,,38001189,G.I. hemorrhage w/o CC/MCC
G.I. OBSTRUCTION W CC,0,,38001199,G.I. obstruction w CC
G.I. OBSTRUCTION W MCC,0,,38001198,G.I. obstruction w MCC
G.I. OBSTRUCTION W/O CC/MCC,0,,38001200,G.I. obstruction w/o CC/MCC
"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC",0,,38001302,"Hand or wrist proc, except major thumb or joint proc w CC/MCC"
HAND PROCEDURES FOR INJURIES,38000739,Hand Procedures For Injuries,38001584,Hand procedures for injuries
Hand & Wrist Procedures,0,,0,
HEADACHES W MCC,0,,38000975,Headaches w MCC
HEADACHES W/O MCC,0,,38000976,Headaches w/o MCC
Head Trauma w/ Coma > 1 Hr or Hemorrhage,0,,0,
HEART ASSIST SYSTEM IMPLANT,38000830,Heart Assist System Implant,38001055,Other heart assist system implant
Heart Failure,0,,316139,Heart failure
HEART FAILURE & SHOCK,38000425,Heart Failure and Shock,38001121,Heart failure & shock w/o CC/MCC
HEART FAILURE & SHOCK W CC,0,,38001120,Heart failure & shock w CC
HEART FAILURE & SHOCK W MCC,0,,38001119,Heart failure & shock w MCC
HEART FAILURE & SHOCK W/O CC/MCC,0,,38001121,Heart failure & shock w/o CC/MCC
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM,38000392,Heart Transplant or Implant of Heart Assist System,38000888,Heart transplant or implant of heart assist system w/o MCC
HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,0,,38000887,Heart transplant or implant of heart assist system w MCC
Hepatic Coma & Other Major Acute Liver Disorders,0,,0,
HEPATOBILIARY DIAGNOSTIC PROCEDURE FOR MALIGNANCY,38000497,Hepatobiliary Diagnostic Procedure For Malignancy,38001221,Hepatobiliary diagnostic procedures w MCC
HEPATOBILIARY DIAGNOSTIC PROCEDURE FOR NON-MALIGNANCY,38000498,Hepatobiliary Diagnostic Procedure For Non-Malignancy,38001223,Hepatobiliary diagnostic procedures w/o CC/MCC
HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,0,,38001222,Hepatobiliary diagnostic procedures w CC
HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,0,,38001221,Hepatobiliary diagnostic procedures w MCC
"HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000457,"Hernia Procedures Except Inguinal and Femoral Age >17 with Complications, Comorbidities",38001173,Hernia procedures except inguinal & femoral w CC
"HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000458,"Hernia Procedures Except Inguinal and Femoral Age >17 without Complications, Comorbidities",38001174,Hernia procedures except inguinal & femoral w/o CC/MCC
"Hernia Procedures Except Inguinal, Femoral & Umbilical",0,,0,
HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W CC,0,,38001173,Hernia procedures except inguinal & femoral w CC
HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W MCC,0,,38001172,Hernia procedures except inguinal & femoral w MCC
HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,0,,38001174,Hernia procedures except inguinal & femoral w/o CC/MCC
"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000508,"Hip and Femur Procedures Except Major Joint Age >17 with Complications, Comorbidities",38001269,Hip & femur procedures except major joint w MCC
"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000509,"Hip and Femur Procedures Except Major Joint Age >17 without Complications, Comorbidities",38001270,Hip & femur procedures except major joint w CC
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,0,,38001270,Hip & femur procedures except major joint w CC
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,0,,38001269,Hip & femur procedures except major joint w MCC
HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,0,,38001271,Hip & femur procedures except major joint w/o CC/MCC
Hip & Femur Procedures for Non-Trauma Except Joint Replacement,0,,0,
Hip & Femur Procedures for Trauma Except Joint Replacement,0,,0,
Hip Joint Replacement,0,,0,
HIV W EXTENSIVE O.R. PROCEDURE W MCC,0,,38001623,HIV w extensive O.R. procedure w MCC
HIV W EXTENSIVE O.R. PROCEDURE W/O MCC,0,,38001624,HIV w extensive O.R. procedure w/o MCC
HIV WITH EXTENSIVE OPERATING ROOM PROCEDURE,38000788,Hiv with Extensive Operating Room Procedure,,
HIV WITH MAJOR RELATED CONDITION,38000789,Hiv with Major Related Condition,,
HIV WITH OR WITHOUT OTHER RELATED CONDITION,38000790,Hiv with or without Other Related Condition,,
HIV W MAJOR RELATED CONDITION W CC,0,,38001626,HIV w major related condition w CC
HIV W MAJOR RELATED CONDITION W MCC,0,,38001625,HIV w major related condition w MCC
HIV W MAJOR RELATED CONDITION W/O CC/MCC,0,,38001627,HIV w major related condition w/o CC/MCC
HIV W OR W/O OTHER RELATED CONDITION,0,,38001628,HIV w or w/o other related condition
Hypertension,0,,45876622,Hypertension
HYPERTENSION,38000432,Hypertension,38001133,Hypertension w/o MCC
HYPERTENSION W MCC,0,,38001132,Hypertension w MCC
HYPERTENSION W/O MCC,0,,38001133,Hypertension w/o MCC
HYPERTENSIVE ENCEPHALOPATHY,38000310,Hypertensive Encephalopathy,38000952,Hypertensive encephalopathy w/o CC/MCC
HYPERTENSIVE ENCEPHALOPATHY W CC,0,,38000951,Hypertensive encephalopathy w CC
HYPERTENSIVE ENCEPHALOPATHY W MCC,0,,38000950,Hypertensive encephalopathy w MCC
HYPERTENSIVE ENCEPHALOPATHY W/O CC/MCC,0,,38000952,Hypertensive encephalopathy w/o CC/MCC
Hypovolemia & Related Electrolyte Disorders,0,,0,
INBORN AND OTHER DISORDERS OF METABOLISM,0,,38001392,Inborn errors of metabolism
Inborn Errors of Metabolism,38000597,Inborn Errors of Metabolism,,
INBORN ERRORS OF METABOLISM,38000597,Inborn Errors of Metabolism,,
"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC",0,,38001481,"Infections, female reproductive system w CC"
"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC",0,,38001480,"Infections, female reproductive system w MCC"
"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC",0,,38001482,"Infections, female reproductive system w/o CC/MCC"
Infections Of The Upper Respiratory Tract,0,,0,
Infectious & Parasitic Diseases Including HIV W O.R. Procedure,0,,0,
INFECTIOUS & PARASITIC DISEASES W OR PROCEDURE,38000885,Infectious and Parasitic Diseases with O.R. Procedure,,
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,0,,38001550,Infectious & parasitic diseases w O.R. procedure w CC
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,0,,38001549,Infectious & parasitic diseases w O.R. procedure w MCC
INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W/O CC/MCC,0,,38001551,Infectious & parasitic diseases w O.R. procedure w/o CC/MCC
INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM,38000648,Inflammation of The Male Reproductive System,,
INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,0,,38001456,Inflammation of the male reproductive system w MCC
INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,0,,38001457,Inflammation of the male reproductive system w/o MCC
Inflammatory Bowel Disease,0,,45883199,Inflammatory Bowel Disease
INFLAMMATORY BOWEL DISEASE,38000477,Inflammatory Bowel Disease,38001197,Inflammatory bowel disease w/o CC/MCC
INFLAMMATORY BOWEL DISEASE W CC,0,,38001196,Inflammatory bowel disease w CC
INFLAMMATORY BOWEL DISEASE W MCC,0,,38001195,Inflammatory bowel disease w MCC
"INGUINAL & FEMORAL HERNIA PROCEDURES AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000459,"Inguinal and Femoral Hernia Procedures Age >17 with Complications, Comorbidities",38001169,Inguinal & femoral hernia procedures w MCC
INGUINAL & FEMORAL HERNIA PROCEDURES W CC,0,,38001170,Inguinal & femoral hernia procedures w CC
INGUINAL & FEMORAL HERNIA PROCEDURES W MCC,0,,38001169,Inguinal & femoral hernia procedures w MCC
INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,0,,38001171,Inguinal & femoral hernia procedures w/o CC/MCC
"Inguinal, Femoral & Umbilical Hernia Procedures",0,,0,
Interstitial Lung Disease,0,,0,
INTERSTITIAL LUNG DISEASE W CC,0,,38001043,Interstitial lung disease w CC
"INTERSTITIAL LUNG DISEASE WITH COMPLICATIONS, COMORBIDITIES",38000380,"Interstitial Lung Disease with Complications, Comorbidities",38001042,Interstitial lung disease w MCC
INTERSTITIAL LUNG DISEASE W MCC,0,,38001042,Interstitial lung disease w MCC
INTERSTITIAL LUNG DISEASE W/O CC/MCC,0,,38001044,Interstitial lung disease w/o CC/MCC
Intervertebral Disc Excision & Decompression,0,,0,
Intestinal Obstruction,0,,193518,Intestinal obstruction
Intracranial Hemorrhage,0,,0,
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,38000301,Intracranial Hemorrhage or Cerebral Infarction,38000939,Intracranial hemorrhage or cerebral infarction w/o CC/MCC
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,0,,38000938,Intracranial hemorrhage or cerebral infarction w CC
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,0,,38000937,Intracranial hemorrhage or cerebral infarction w MCC
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,0,,38000939,Intracranial hemorrhage or cerebral infarction w/o CC/MCC
INTRACRANIAL HEMORRHAGE & STROKE W/ INFARCTION,38000301,Intracranial Hemorrhage or Cerebral Infarction,38000939,Intracranial hemorrhage or cerebral infarction w/o CC/MCC
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,0,,38000903,Intracranial vascular procedures w PDX hemorrhage w CC
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,0,,38000902,Intracranial vascular procedures w PDX hemorrhage w MCC
INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,0,,38000904,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC
INTRA CRANIAL VASCULAR PROCEDURE WITH PRINCIPAL DIAGNOSIS OF HEMORRHAGE,38000834,Intra Cranial Vascular Procedure with Principal Diagnosis of Hemorrhage,38000904,Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC
INTRA CRANIAL VASCULAR PROCEDURE WITH PRINCIPAL DIAGNOSIS OF HEMORRHAGE,38000834,Intra Cranial Vascular Procedure with Principal Diagnosis of Hemorrhage,38000902,Intracranial vascular procedures w PDX hemorrhage w MCC
INTRA CRANIAL VASCULAR PROCEDURE WITH PRINCIPAL DIAGNOSIS OF HEMORRHAGE,38000834,Intra Cranial Vascular Procedure with Principal Diagnosis of Hemorrhage,38000903,Intracranial vascular procedures w PDX hemorrhage w CC
Kidney Transplant,38000600,Kidney Transplant,38001396,Kidney transplant
KIDNEY TRANSPLANT,38000600,Kidney Transplant,38001396,Kidney transplant
"KIDNEY, URETER & MAJOR BLADDER PROCEDURES FOR NEOPLASM",38000601,"Kidney, Ureter and Major Bladder Procedures For Neoplasm",,
"KIDNEY, URETER & MAJOR BLADDER PROCEDURES FOR NON-NEOPLASM WITH COMPLICATIONS, COMORBIDITIES",38000602,"Kidney, Ureter and Major Bladder Procedures For Non-Neoplasm with Complications, Comorbidities",,
KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,0,,38001401,Kidney & ureter procedures for neoplasm w CC
KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,0,,38001400,Kidney & ureter procedures for neoplasm w MCC
KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,0,,38001402,Kidney & ureter procedures for neoplasm w/o CC/MCC
KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,0,,38001404,Kidney & ureter procedures for non-neoplasm w CC
KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,0,,38001403,Kidney & ureter procedures for non-neoplasm w MCC
KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,0,,38001405,Kidney & ureter procedures for non-neoplasm w/o CC/MCC
Kidney & Urinary Tract Infections,0,,0,
"KIDNEY & URINARY TRACT INFECTIONS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000618,"Kidney and Urinary Tract Infections Age >17 with Complications, Comorbidities",,
"KIDNEY & URINARY TRACT INFECTIONS AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000619,"Kidney and Urinary Tract Infections Age >17 without Complications, Comorbidities",,
KIDNEY & URINARY TRACT INFECTIONS W MCC,0,,38001427,Kidney & urinary tract infections w MCC
KIDNEY & URINARY TRACT INFECTIONS W/O MCC,0,,38001428,Kidney & urinary tract infections w/o MCC
Kidney & Urinary Tract Malignancy,0,,0,
KIDNEY & URINARY TRACT NEOPLASMS W CC,0,,38001425,Kidney & urinary tract neoplasms w CC
"KIDNEY & URINARY TRACT NEOPLASMS WITH COMPLICATIONS, COMORBIDITIES",38000616,"Kidney and Urinary Tract Neoplasms with Complications, Comorbidities",,
KIDNEY & URINARY TRACT NEOPLASMS W MCC,0,,38001424,Kidney & urinary tract neoplasms w MCC
Kidney & Urinary Tract Procedures for Malignancy,0,,0,
Kidney & Urinary Tract Procedures for Nonmalignancy,0,,0,
"KIDNEY & URINARY TRACT SIGNS & SYMPTOMS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000623,"Kidney and Urinary Tract Signs and Symptoms Age >17 with Complications, Comorbidities",,
KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W MCC,0,,38001433,Kidney & urinary tract signs & symptoms w MCC
KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,0,,38001434,Kidney & urinary tract signs & symptoms w/o MCC
Knee Joint Replacement,0,,0,
Knee & Lower Leg Procedures Except Foot,0,,0,
KNEE PROCEDURES WITHOUT PDX OF INFECTION,38000806,Knee Procedures without Pdx of Infection,38001278,Knee procedures w/o pdx of infection w/o CC/MCC
KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,0,,38001277,Knee procedures w/o pdx of infection w CC/MCC
KNEE PROCEDURES W PDX OF INFECTION W CC,0,,38001275,Knee procedures w pdx of infection w CC
KNEE PROCEDURES W PDX OF INFECTION WITH COMPLICATIONS AND COMORBIDITIES,38000804,Knee Procedures with Pdx of Infection with Complications and Comorbidities,38001274,Knee procedures w pdx of infection w MCC
KNEE PROCEDURES W PDX OF INFECTION W MCC,0,,38001274,Knee procedures w pdx of infection w MCC
Laparoscopic Cholecystectomy,0,,0,
"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT COMMON DUCT EXPLORATION WITH COMPLICATIONS, COMORBIDITIES",38000794,"Laparoscopic Cholecystectomy without Common Duct Exploration with Complications, Comorbidities",38001218,Laparoscopic cholecystectomy w/o c.d.e. w MCC
"LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT COMMON DUCT EXPLORATION WITHOUT COMPLICATIONS, COMORBIDITIES",38000795,"Laparoscopic Cholecystectomy without Common Duct Exploration without Complications, Comorbidities",38001220,Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,0,,38001219,Laparoscopic cholecystectomy w/o c.d.e. w CC
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,0,,38001218,Laparoscopic cholecystectomy w/o c.d.e. w MCC
LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,0,,38001220,Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC
LAPAROSCOPY & INCISIONAL TUBAL INTERRUPTION,38000659,Laparoscopy and Incisional Tubal Interruption,,
"LIMB REATTACHMENT, HIP AND FEMUR PROCEDURE FOR MULTIPLE SIGNIFICANT TRAUMA",38000785,"Limb Reattachment, Hip and Femur Procedure For Multiple Significant Trauma",,
"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA",0,,38001616,"Limb reattachment, hip & femur proc for multiple significant trauma"
Liver Transplant,0,,0,
LIVER TRANSPLANT,38000777,Liver Transplant,38000892,Liver transplant w/o MCC
LIVER TRANSPLANT AND/OR INTENSTINAL TRANSPLANT,38000778,Liver Transplant And/or Intenstinal Transplant,38000892,Liver transplant w/o MCC
LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,0,,38000891,Liver transplant w MCC or intestinal transplant
LIVER TRANSPLANT W/O MCC,0,,38000892,Liver transplant w/o MCC
LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC,38000843,Local Excision and Removal of Internal Fixation Devices Except Hip and Femur with Cc,,
LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC,38000844,Local Excision and Removal of Internal Fixation Devices Except Hip and Femur without Cc,,
LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,0,,38001285,Local excision & removal int fix devices exc hip & femur w CC
LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC,0,,38001284,Local excision & removal int fix devices exc hip & femur w MCC
LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,0,,38001286,Local excision & removal int fix devices exc hip & femur w/o CC/MCC
LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,0,,38001287,Local excision & removal int fix devices of hip & femur w CC/MCC
LOCAL EXCISION & REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP & FEMUR,38000529,Local Excision and Removal of Internal Fixation Devices Except Hip and Femur,,
"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC",0,,38001282,"Lower extrem & humer proc except hip,foot,femur w CC"
"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC",0,,38001281,"Lower extrem & humer proc except hip,foot,femur w MCC"
"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC",0,,38001283,"Lower extrem & humer proc except hip,foot,femur w/o CC/MCC"
"LOWER EXTREMITY & HUMERUS PROCEDURES EXCEPT HIP, FOOT, FEMUR AGE 0-17",38000518,"Lower Extremity and Humerus Procedures Except Hip, Foot, Femur Age 0-17",,
"LOWER EXTREMITY & HUMERUS PROCEDURES EXCEPT HIP, FOOT, FEMUR AGE>17 COMPLICATIONS, COMORBIDITIES",38000516,"Lower Extremity and Humerus Procedures Except Hip, Foot, Femur Age>17 Complications, Comorbidities",38001281,"Lower extrem & humer proc except hip,foot,femur w MCC"
"LOWER EXTREMITY & HUMERUS PROCEDURES EXCEPT HIP, FOOT, FEMUR AGE>17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000517,"Lower Extremity and Humerus Procedures Except Hip, Foot, Femur Age>17 without Complications, Comorbidities",,
Lymphatic & Other Malignancies & Neoplasms Of Uncertain Behavior,0,,0,
LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH CC,38000845,Lymphoma and Leukemia with Major O.R. Procedure with Cc,,
LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITHOUT CC,38000846,Lymphoma and Leukemia with Major O.R. Procedure without Cc,,
LYMPHOMA & LEUKEMIA WITH MAJOR OPERATING ROOM PROCEDURE,38000698,Lymphoma and Leukemia with Major Operating Room Procedure,,
LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC,0,,38001523,Lymphoma & leukemia w major O.R. procedure w CC
LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,0,,38001522,Lymphoma & leukemia w major O.R. procedure w MCC
LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,0,,38001524,Lymphoma & leukemia w major O.R. procedure w/o CC/MCC
Lymphoma & Non-acute Leukemia,0,,0,
LYMPHOMA & NON-ACUTE LEUKEMIA W CC,0,,38001540,Lymphoma & non-acute leukemia w CC
"LYMPHOMA & NON-ACUTE LEUKEMIA WITH COMPLICATIONS, COMORBIDITIES",38000701,"Lymphoma and Non-Acute Leukemia with Complications, Comorbidities",,
"LYMPHOMA & NON-ACUTE LEUKEMIA WITH OTHER OPERATING ROOM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000699,"Lymphoma and Non-Acute Leukemia with Other Operating Room Procedures with Complications, Comorbidities",,
"LYMPHOMA & NON-ACUTE LEUKEMIA WITHOUT COMPLICATIONS, COMORBIDITIES",38000702,"Lymphoma and Non-Acute Leukemia without Complications, Comorbidities",,
LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,0,,38001539,Lymphoma & non-acute leukemia w MCC
LYMPHOMA & NON-ACUTE LEUKEMIA W/O CC/MCC,0,,38001541,Lymphoma & non-acute leukemia w/o CC/MCC
LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC W CC,0,,38001526,Lymphoma & non-acute leukemia w other O.R. proc w CC
LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER O.R. PROC W MCC,0,,38001525,Lymphoma & non-acute leukemia w other O.R. proc w MCC
Major Biliary Tract Procedures,0,,0,
Major Bladder Procedures,0,,0,
MAJOR BLADDER PROCEDURES,38000880,Major Bladder Procedures,,
MAJOR BLADDER PROCEDURES W CC,0,,38001398,Major bladder procedures w CC
MAJOR BLADDER PROCEDURES W MCC,0,,38001397,Major bladder procedures w MCC
MAJOR BLADDER PROCEDURES W/O CC/MCC,0,,38001399,Major bladder procedures w/o CC/MCC
Major Cardiothoracic Repair of Heart Anomaly,0,,0,
MAJOR CARDIOVASC PROCEDURES W MCC,0,,38001077,Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair
MAJOR CARDIOVASC PROCEDURES W/O MCC,0,,38001078,Major cardiovasc procedures w/o MCC
"MAJOR CARDIOVASCULAR PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000403,"Major Cardiovascular Procedures with Complications, Comorbidities",38001077,Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair
"MAJOR CARDIOVASCULAR PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000404,"Major Cardiovascular Procedures without Complications, Comorbidities",38001078,Major cardiovasc procedures w/o MCC
MAJOR CHEST PROCEDURES,38000363,Major Chest Procedures,38001017,Major chest procedures w/o CC/MCC
MAJOR CHEST PROCEDURES W CC,0,,38001016,Major chest procedures w CC
MAJOR CHEST PROCEDURES W MCC,0,,38001015,Major chest procedures w MCC
MAJOR CHEST PROCEDURES W/O CC/MCC,0,,38001017,Major chest procedures w/o CC/MCC
Major Chest & Respiratory Trauma,0,,0,
MAJOR CHEST TRAUMA W CC,0,,38001030,Major chest trauma w CC
"MAJOR CHEST TRAUMA WITH COMPLICATIONS, COMORBIDITIES",38000371,"Major Chest Trauma with Complications, Comorbidities",38001029,Major chest trauma w MCC
"MAJOR CHEST TRAUMA WITHOUT COMPLICATIONS, COMORBIDITIES",38000372,"Major Chest Trauma without Complications, Comorbidities",38001031,Major chest trauma w/o CC/MCC
MAJOR CHEST TRAUMA W MCC,0,,38001029,Major chest trauma w MCC
MAJOR CHEST TRAUMA W/O CC/MCC,0,,38001031,Major chest trauma w/o CC/MCC
Major Cranial/Facial Bone Procedures,0,,0,
Major Depressive Disorders & Other/Unspecified Psychoses,0,,0,
Major Esophageal Disorders,0,,0,
MAJOR ESOPHAGEAL DISORDERS,38000878,Major Esophageal Disorders,38001180,Major esophageal disorders w/o CC/MCC
MAJOR ESOPHAGEAL DISORDERS W CC,0,,38001179,Major esophageal disorders w CC
MAJOR ESOPHAGEAL DISORDERS W MCC,0,,38001178,Major esophageal disorders w MCC
MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,0,,38001180,Major esophageal disorders w/o CC/MCC
MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS,38000879,Major Gastrointestinal Disorders and Peritoneal Infections,38001183,Major gastrointestinal disorders & peritoneal infections w/o CC/MCC
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W MCC,0,,38001181,Major gastrointestinal disorders & peritoneal infections w MCC
MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O CC/MCC,0,,38001183,Major gastrointestinal disorders & peritoneal infections w/o CC/MCC
Major Gastrointestinal & Peritoneal Infections,0,,0,
MAJOR HEAD & NECK PROCEDURES,38000337,Major Head and Neck Procedures,38000988,Major head & neck procedures w/o CC/MCC
MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,0,,38000987,Major head & neck procedures w CC/MCC or major device
MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,0,,38000988,Major head & neck procedures w/o CC/MCC
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,0,,38001514,Major hematol/immun diag exc sickle cell crisis & coagul w CC
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,0,,38001513,Major hematol/immun diag exc sickle cell crisis & coagul w MCC
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC,0,,38001515,Major hematol/immun diag exc sickle cell crisis & coagul w/o CC/MCC
Major Hematologic/Immunologic Diag Exc Sickle Cell Crisis & Coagul,38000881,Major Hematologic/Immunologic Dx Excep Scyle Cell Crisis and Coag,,
MAJOR HEMATOLOGIC/IMMUNOLOGIC DX EXCEP SCYLE CELL CRISIS & COAG,38000881,Major Hematologic/Immunologic Dx Excep Scyle Cell Crisis and Coag,,
MAJOR JOINT & LIMB REATTACHMENT PROCEDURES OF LOWER EXTREMITY,38000507,Major Joint and Limb Reattachment Procedures of Lower Extremity,,
MAJOR JOINT & LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITY,38000791,Major Joint and Limb Reattachment Procedures of Upper Extremity,38001273,Major joint & limb reattachment proc of upper extremity w/o CC/MCC
MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,0,,38001272,Major joint & limb reattachment proc of upper extremity w CC/MCC
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY,38000851,Major Joint Replacement or Reattachment of Lower Extremity,38001259,Major joint replacement or reattachment of lower extremity w/o MCC
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,0,,38001258,Major joint replacement or reattachment of lower extremity w MCC
MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,0,,38001259,Major joint replacement or reattachment of lower extremity w/o MCC
Major Larynx & Trachea Procedures,0,,0,
Major Male Pelvic Procedures,0,,0,
MAJOR MALE PELVIC PROCEDURES W CC/MCC,0,,38001439,Major male pelvic procedures w CC/MCC
"MAJOR MALE PELVIC PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000632,"Major Male Pelvic Procedures with Complications, Comorbidities",,
MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,0,,38001440,Major male pelvic procedures w/o CC/MCC
Major O.R. Procedures For Lymphatic/Hematopietic/Other Neoplasms,0,,0,
